judge,method,metric,n_iters,n_sig_K0_higher,n_sig_K5_higher,n_sig_K0_better,n_sig_K5_better,iters_sig_K0_higher,iters_sig_K5_higher,mean_delta_iters1toN,mean_dz_iters1toN,base_delta,base_dz,max_abs_dz,max_abs_dz_iter,max_abs_dz_delta,lower_better
gpt-4o-mini,PTO,B5_CR_per_turn,11,0,0,0,0,,,-0.0032470929954514136,-0.030969687545622814,0.008437669903473262,0.07336914536928027,0.2505395353178455,7,-0.023093315491897064,False
gpt-4o-mini,PTO,B6_AF,11,4,0,4,0,"7,8,9,10",,0.2864583333333333,0.16601280599291068,-0.125,-0.11590193233312392,0.4271330344404508,8,0.6354166666666666,False
gpt-4o-mini,PTO,B6_AF_per_turn,11,4,0,4,0,"7,8,9,10",,0.034186961143304107,0.26843075674372185,-0.0037596560574501745,-0.05738575899117304,0.7084483405818688,10,0.09905338738720797,False
gpt-4o-mini,PTO,B7_Seek,11,1,0,1,0,8,,0.11875,0.08010741874180341,0.052083333333333336,0.013165674745739374,0.42311486096475454,8,0.5520833333333334,False
gpt-4o-mini,PTO,B7_Seek_per_turn,11,3,0,3,0,"8,9,10",,0.015351237053781558,0.15005497290310243,0.005068544396147792,0.026629903991734843,0.5606552016636303,8,0.054834385247336186,False
gpt-4o-mini,PTO,MICI_AdviseNoPermission,11,0,3,3,0,,"4,8,9",-0.2989583333333333,-0.210561193131322,0.25,0.10048775604841746,0.4984819308219375,8,-0.5729166666666666,True
gpt-4o-mini,PTO,MICI_AdviseNoPermission_rate,11,0,1,1,0,,4,-0.013939641488929958,-0.07899046115010558,0.012191944211005909,0.06377388778887562,0.36261616830552584,4,-0.06745374577091917,True
gpt-4o-mini,PTO,MICI_BehaviorTotal,11,3,1,1,3,"7,9,10",4,0.0989583333333333,0.02874338576049325,0.5625,0.13864941026035707,0.4464082395804686,10,1.6145833333333333,True
gpt-4o-mini,PTO,MICI_Confront,11,0,0,0,0,,,-0.028125,-0.12790900342189931,0.020833333333333332,0.05083078294048702,0.2568505834570407,10,-0.0625,True
gpt-4o-mini,PTO,MICI_Confront_rate,11,0,0,0,0,,,-0.0023405564343064343,-0.11623261141624101,0.002514314389314389,0.08890730251222459,0.2521308800658535,10,-0.00564893728956229,True
gpt-4o-mini,PTO,MICI_Direct,11,0,4,4,0,,"6,8,9,10",-0.2010416666666667,-0.18457152186958495,0.25,0.12033996558530823,0.4558066358252469,8,-0.4479166666666667,True
gpt-4o-mini,PTO,MICI_Direct_rate,11,0,1,1,0,,8,-0.014776915111303574,-0.15671426300281,0.015262181021651928,0.10692107277355904,0.3887592810084405,8,-0.030789997015872806,True
gpt-4o-mini,PTO,MICI_Judge,11,0,0,0,0,,,-0.018749999999999996,-0.08751161336502535,-0.052083333333333336,-0.07765071016427454,0.20742555849952668,10,-0.041666666666666664,True
gpt-4o-mini,PTO,MICI_Judge_rate,11,0,0,0,0,,,-0.0014130877632715867,-0.07754114541321398,-0.0037935559810559813,-0.07321439162820302,0.20272066455983476,10,-0.003912826178451179,True
gpt-4o-mini,PTO,MICI_OverPraise,11,4,0,0,4,"7,8,9,10",,0.6479166666666666,0.3278614505234724,0.052083333333333336,0.06623615948315073,0.9583250758143974,9,2.0729166666666665,True
gpt-4o-mini,PTO,MICI_OverPraise_rate,11,5,0,0,5,"6,7,8,9,10",,0.07239868657099695,0.4331214537499576,0.004732846787873962,0.08094810377451936,1.4251901977174988,9,0.22943572114697308,True
gpt-4o-mini,PTO,MICI_Rate,11,3,1,1,3,"7,9,10",4,0.03971865727107747,0.1435052239874098,0.0356485914196512,0.12286632938113924,0.8315592914015403,9,0.20172382948650366,True
gpt-4o-mini,PTO,MICI_Severity,11,0,3,3,0,,"4,6,8",-0.3010416666666667,-0.30438460595841166,0.21875,0.16052877085132222,0.5933330468302631,8,-0.4791666666666667,True
gpt-4o-mini,PTO,MICI_Warn,11,0,0,0,0,,,-0.002083333333333333,-0.02960241959810635,0.041666666666666664,0.14510328920809162,0.17866740892158448,1,0.0625,True
gpt-4o-mini,PTO,MICI_Warn_rate,11,0,0,0,0,,,-0.0002098285021079139,-0.028364999879949563,0.004740860990860991,0.16553857366037417,0.1778730121750747,1,0.004607498982498982,True
gpt-4o-mini,PTO,RtoQ,11,0,0,0,0,,,-0.04696190112774804,-0.059989214569643526,-0.12701642672572902,-0.1292881002941655,0.26352883072894223,7,-0.17395419973544976,False
text (judge-invariant),GRPO,conv_len,6,2,0,2,0,"4,5",,2.1,0.13068997276276692,0.4791666666666667,0.026103111580285214,0.5305148231163582,5,8.104166666666666,False
text (judge-invariant),GRPO,loop,6,0,1,0,1,,3,-0.002083333333333333,-0.004771053273620374,-0.010416666666666666,-0.018856868954502424,0.29993686204286596,3,-0.08333333333333333,False
text (judge-invariant),GRPO,mean_turn_len,6,0,3,0,3,,"3,4,5",-86.09290694354698,-0.3882297942379431,-12.740064940565645,-0.06996366313429968,0.8147258877229051,5,-206.55610025456335,False
text (judge-invariant),GRPO,n_th_turns,6,2,0,2,0,"4,5",,1.0458333333333334,0.1299247405243674,0.22916666666666666,0.02512253487959717,0.527660313003281,5,4.03125,False
